Hotel Name,Review,Number of Reviews,Review Score,City
ZAITO Tokyo Mukojima Hotel 押上駅徒歩七分ホテル,Very good,131 reviews,8.1,Show on map
Tosei Hotel Cocone Asakusa Kuramae,8.1,779 reviews,8.6,"Sumida Ward, Tokyo"
Sakura Cross Hotel Ueno Okachimachi,Very good,"1,090 reviews",8.5,Show on map
APA Hotel Ikebukuro Eki Kitaguchi,8.6,"1,356 reviews",7.1,"Taito, Tokyo"
HOTEL LiVEMAX Asakusa-Ekimae,Fabulous,434 reviews,6.9,Show on map
Hotel Villa Fontaine Tokyo-Shinjuku,8.5,263 reviews,7.9,"Taito, Tokyo"
HotelHarmony日暮里ホテルハーモニー,Very good,368 reviews,7.1,Show on map
HOTEL REFRAIN,7.1,105 reviews,8.4,"Toshima, Tokyo"
Dai-ichi Hotel Tokyo,Good,915 reviews,8.7,Show on map
The Gate Hotel Asakusa Kaminarimon by Hulic,6.9,"2,381 reviews",8.9,"Taito, Tokyo"
Hotel Villa Fontaine Grand Tokyo-Shiodome,Review score,"1,589 reviews",8.1,Show on map
Centurion Hotel Ueno,7.9,769 reviews,6.8,"Shinjuku Ward, Tokyo"
Hotel East 21 Tokyo,Good,"1,267 reviews",8.5,Show on map
Asakusa View Hotel Annex Rokku,7.1,161 reviews,8.6,"Arakawa, Tokyo"
remm Tokyo Kyobashi,Good,"2,136 reviews",8.6,Show on map
Hotel Fukudaya,8.4,557 reviews,8.1,"Toshima, Tokyo"
Artsy Inn東日本橋,Very good,836 reviews,7.9,Show on map
HOTEL LiVEMAX Akasaka GRANDE,8.7,420 reviews,7.4,"Minato, Tokyo"
Hotel Il Fiore Kasai,Fabulous,"1,025 reviews",8.2,Show on map
Tokyu Stay Gotanda,8.9,"1,068 reviews",8.2,"Taito, Tokyo"
Sunshine City Prince Hotel Ikebukuro,Fabulous,"3,487 reviews",8.2,Show on map
APA Hotel Omori Ekimae,8.1,802 reviews,8.3,"Minato, Tokyo"
Meguroholic Hotel,Very good,430 reviews,7.6,Show on map
"Cerulean Tower Tokyu Hotel, A Pan Pacific Partner Hotel",8.8,"1,009 reviews",8.8,"Shibuya Ward, Tokyo"
Sakura Cross Hotel Shinjuku East,Fabulous,"1,037 reviews",8.5,Show on map
Tokyo SA Ryokan,8.5,102 reviews,8.3,"Shinjuku Ward, Tokyo"
Hotel Monterey Lasoeur Ginza,Very good,"1,591 reviews",8.1,Show on map
Dormy Inn Premium Shibuya-jingumae,8.3,"1,174 reviews",8.2,"Taito, Tokyo"
Sotetsu Fresa Inn Nihombashi-Ningyocho,Very good,"1,119 reviews",8.3,Show on map
Hotel Villa Fontaine Tokyo-Kudanshita,8.1,814 reviews,7.8,"Chuo Ward, Tokyo"
Minn Machiya,Very good,499 reviews,8.7,Show on map
Hotel New Ueno,8.2,955 reviews,7.7,"Shibuya Ward, Tokyo"
dots. tokyo,Very good,428 reviews,8.6,Show on map
Grand Central Hotel,8.3,"1,577 reviews",7.6,"Chuo Ward, Tokyo"
Minn Ueno-Iriya,Very good,560 reviews,8.4,Show on map
Hotel SAILS,7.8,459 reviews,9.1,"Chiyoda, Tokyo"
Tosei Hotel Cocone Tsukiji Ginza Premier,Good,88 reviews,8.7,Show on map
Hotel Villa Fontaine Tokyo-hatchobori,8.7,582 reviews,8.0,"Arakawa, Tokyo"
HOTEL MYSTAYS Nishi Shinjuku,Fabulous,413 reviews,8.0,Show on map
Nagomi Hotel Nippori,7.7,114 reviews,8.4,"Taito, Tokyo"
Tokyu Stay Shinjuku Eastside,Good,"2,373 reviews",8.8,Show on map
Nihon Seinenkan Hotel,8.6,588 reviews,9.0,"Taito, Tokyo"
Tokyo City View Hotel Tabata Station,Fabulous,965 reviews,7.4,Show on map
ZAITO Tokyo Chitose Accommodation 森下駅から徒歩6分,7.6,9 reviews,8.4,"Chiyoda, Tokyo"
HOTEL LiVEMAX Asakusa Sky Front,Good,338 reviews,6.8,Show on map
Hotel Metropolitan Tokyo Marunouchi,8.4,"2,948 reviews",8.7,"Taito, Tokyo"
Hotel Belle Via Tokyo,Very good,103 reviews,8.0,Show on map
Park Hotel Tokyo,9.1,"1,353 reviews",8.6,"Taito, Tokyo"
Hotel Risveglio Akasaka,8.4,"2,566 reviews",8.4,"Minato, Tokyo"
Hotel SAILS Asakusa,Very good,121 reviews,8.5,Show on map
Tobu Hotel Levant Tokyo,8.5,"3,783 reviews",8.9,"Taito, Tokyo"
Oyado Cocochi,Very good,947 reviews,7.6,Show on map
sequence SUIDOBASHI - Tokyo,8.9,"1,178 reviews",8.6,"Sumida Ward, Tokyo"
Tokyu Stay Yotsuya Shinjuku,Fabulous,850 reviews,7.9,Show on map
Hotel PRINCESS2 大人専用,7.6,3 reviews,4.3,"Shinjuku Ward, Tokyo"
Hotel Abest Meguro,Good,656 reviews,6.3,Show on map
Keisei Richmond Hotel Tokyo Monzennakacho,8.6,"2,501 reviews",8.9,"Chiyoda, Tokyo"
HOTEL MYSTAYS Kanda,Fabulous,371 reviews,7.9,Show on map
Hotel Kizankan,7.9,363 reviews,7.4,"Shinjuku Ward, Tokyo"
GINZA HOTEL by GRANBELL,Good,290 reviews,8.1,Show on map
Tosei Hotel Cocone Ueno Okachimachi,4.3,"1,294 reviews",8.5,"Taito, Tokyo"
2269AZAVU,Review score,263 reviews,7.9,Show on map
HOTEL LiVEMAX Asakusabashi-Ekimae,6.3,223 reviews,6.2,"Shinagawa Ward, Tokyo"
The Westin Tokyo,Review score,238 reviews,8.7,Show on map
Richmond Hotel Tokyo Suidobashi,8.9,"2,583 reviews",8.3,"Koto Ward, Tokyo"
"Far East Village Hotel Tokyo, Asakusa",Fabulous,282 reviews,8.4,Show on map
HOTEL LiVEMAX Shinjuku EAST,7.9,541 reviews,5.9,"Chiyoda, Tokyo"
Toyoko Inn Tokyo Yamanote sen Otsuka eki Kita guchi No 2,Good,371 reviews,7.7,Show on map
Rhodes Kagurazaka,7.4,305 reviews,7.3,"Bunkyo, Tokyo"
KIN HOTEL,Good,560 reviews,8.0,Show on map
HOTEL SUI KANDA by ABEST,8.1,835 reviews,8.0,"Chuo Ward, Tokyo"
上野超豪华4人间，上野公园3分钟 地铁1分钟 位置绝佳超级繁华 免费wifi Dyson吹风机BOD,Very good,857 reviews,8.3,Show on map
"The Prince Sakura Tower Tokyo, Autograph Collection",8.7,124 reviews,8.7,"Minato, Tokyo"
HOTEL MYSTAYS Nippori,Fabulous,472 reviews,6.8,Show on map
Lodging Tokyo Shibamata,6.8,8 reviews,7.6,"Arakawa, Tokyo"
Hotel Siena,Review score,198 reviews,6.6,Show on map
Ueno Touganeya Hotel,7.6,591 reviews,8.3,"Katsushika, Tokyo"
New Otani Inn Tokyo,Good,382 reviews,7.4,Show on map
HOTEL WILL渋谷 -Adult only-,6.6,25 reviews,7.0,"Shinjuku Ward, Tokyo"
Ueno Urban Hotel,Review score,"1,010 reviews",8.1,Show on map
APA Hotel Kodemmacho-ekimae,8.3,831 reviews,7.5,"Taito, Tokyo"
Hotel New Otani Tokyo The Main,Very good,418 reviews,8.5,Show on map
Hotel U,7.4,78 reviews,6.8,"Shinagawa Ward, Tokyo"
Roppongi Plaza Hotel,Good,147 reviews,7.5,Show on map
R&B Hotel Otsuka Eki Kitaguchi,7.0,606 reviews,7.2,"Shibuya Ward, Tokyo"
Tokyo Inn,Good,561 reviews,7.2,Show on map
APA Hotel Ginza Shintomicho Ekimae - Former APA Hotel Shintomicho Ekimae,8.1,885 reviews,7.6,"Taito, Tokyo"
JR Kyushu Hotel Blossom Shinjuku,Very good,"3,570 reviews",8.8,Show on map
Sotetsu Fresa Inn Daimon,7.5,"1,524 reviews",8.5,"Chuo Ward, Tokyo"
Hotel Monte Hermana Tokyo,Good,"1,119 reviews",8.4,Show on map
ibis Styles Tokyo Ginza East,8.5,43 reviews,7.8,"Chiyoda, Tokyo"
Laffitte Hirai Condominium Hotel,Very good,71 reviews,7.2,Show on map
APA Hotel Kamataeki-Higashi,6.8,"1,479 reviews",7.3,"Bunkyo, Tokyo"
City Hotel Southern Cross,Review score,210 reviews,6.4,Show on map
Shikinosai Akihabara Hotel,7.5,148 reviews,8.8,"Minato, Tokyo"
B:CONTE Asakusa,Good,527 reviews,8.9,Show on map
Tosei Hotel Cocone Asakusa,7.2,319 reviews,8.5,"Toshima, Tokyo"
plat hostel keikyu minowa forest,8.4,800 reviews,8.4,"Taito, Tokyo"
Ebisuholic Hotel,Very good,413 reviews,8.2,Show on map
Hotel Yaenomidori Tokyo,8.2,"2,961 reviews",8.6,"Shibuya Ward, Tokyo"
Tokyo Dome Hotel,Very good,"1,261 reviews",8.5,Show on map
HOTEL PERRIER (Adult Only),8.6,127 reviews,8.4,"Chuo Ward, Tokyo"
Lotte City Hotel Kinshicho,Fabulous,321 reviews,8.2,Show on map
Tokyu Stay Monzen-Nakacho,8.5,239 reviews,8.1,"Bunkyo, Tokyo"
Sotetsu Grand Fresa Tokyo-Bay Ariake,Very good,"5,228 reviews",8.1,Show on map
Hotaku HOTEL Akihabara,8.4,586 reviews,8.9,"Shinjuku Ward, Tokyo"
the b akasaka-mitsuke,Very good,"1,429 reviews",8.0,Show on map
U-Hotel Takadanobaba,8.2,279 reviews,8.0,"Sumida Ward, Tokyo"
HOTEL LiVEMAX Shinjuku Kabukicho-Meijidori,Very good,669 reviews,5.1,Show on map
APA Hotel Tokyo Kiba,8.1,738 reviews,6.8,"Koto Ward, Tokyo"
"The Strings by InterContinental, Tokyo, an IHG Hotel",Very good,321 reviews,8.7,Show on map
Shinjuku City Hotel N.U.T.S Tokyo,8.1,748 reviews,7.6,"Koto Ward, Tokyo"
stayme THE HOTEL Ueno,Very good,308 reviews,8.0,Show on map
ulu Tokyo,8.9,271 reviews,9.4,"Chiyoda, Tokyo"
MIMARU SUITES Tokyo NIHOMBASHI,Fabulous,358 reviews,9.2,Show on map
all day place shibuya,8.0,"2,993 reviews",8.5,"Minato, Tokyo"
BON Tokyo Asakusa,Very good,452 reviews,8.4,Show on map
Oakwood Hotel & Apartments Azabu Tokyo,8.0,553 reviews,8.8,"Shinjuku Ward, Tokyo"
hotel aima,Very good,735 reviews,8.8,Show on map
the b ginza,5.1,"2,127 reviews",8.6,"Shinjuku Ward, Tokyo"
Minn Asakusa,Review score,341 reviews,9.0,Show on map
Asta Hotel,6.8,705 reviews,8.2,"Koto Ward, Tokyo"
ibis budget Birmingham Centre,6.7,"10,424 reviews",6.7,"Birmingham City Centre, Birmingham"
Campanile Hotel - Birmingham,Review score,"4,279 reviews",7.7,Show on map
"The Fountain Inn, Digbeth",7.7,30 reviews,7.9,Birmingham
Comfort Inn Birmingham,Good,"2,709 reviews",6.6,Show on map
Aparthotel Adagio Birmingham City Centre,7.9,"3,816 reviews",8.7,"Birmingham City Centre, Birmingham"
"Birmingham Strathallan Hotel, BW Signature Collection",Good,"2,936 reviews",6.9,Show on map
The Cotteridge Inn,6.6,36 reviews,7.5,"Birmingham Shopping District, Birmingham"
Hyatt Regency Birmingham,Review score,"6,637 reviews",7.8,Show on map
"Holiday Inn Express Birmingham - Snow Hill, an IHG Hotel",8.7,"5,040 reviews",7.6,"Birmingham Shopping District, Birmingham"
Hampton by Hilton Birmingham Broad Street,Fabulous,"8,492 reviews",7.8,Show on map
One Bedroom Apartment/Studio,6.9,5 reviews,7.8,"Edgbaston, Birmingham"
Aloft Birmingham Eastside,Review score,"3,295 reviews",8.8,Show on map
"Holiday Inn Birmingham City, an IHG Hotel",7.5,"6,180 reviews",7.8,Birmingham
ibis Birmingham Centre New Street Station Hotel,Good,"5,897 reviews",7.4,Show on map
Bloc Hotel Birmingham,7.8,"4,687 reviews",8.2,"The Westside, Birmingham"
Malmaison Birmingham,Good,"3,957 reviews",8.2,Show on map
"Holiday Inn Express - Birmingham - City Centre, an IHG Hotel",7.6,"7,939 reviews",8.4,"Birmingham City Centre, Birmingham"
The Moseley Arms,Good,"1,863 reviews",7.4,Show on map
Johal Mini Hotel Birmingham City - FREE BREAKFAST,7.8,19 reviews,7.0,"The Westside, Birmingham"
Castle Bromwich Hall; Sure Hotel Collection by Best Western,Good,"1,529 reviews",7.7,Show on map
easyHotel Birmingham,7.8,"4,610 reviews",7.3,"Jewellery Quarter, Birmingham"
"Radisson Blu Hotel, Birmingham",Good,"5,456 reviews",8.1,Show on map
The Briar Rose Wetherspoon,8.8,"3,907 reviews",7.9,"Eastside, Birmingham"
Toby Carvery Birmingham by Innkeeper's Collection,Fabulous,"2,047 reviews",8.2,Show on map
Royal George Hotel,7.8,"1,340 reviews",6.1,"Birmingham Shopping District, Birmingham"
Hotel at Conference Aston,7.9,"2,871 reviews",7.9,"Eastside, Birmingham"
pentahotel Birmingham,Good,"4,135 reviews",7.5,Show on map
Aparthotel Adagio Birmingham City Centre,7.5,"3,816 reviews",8.7,"Birmingham City Centre, Birmingham"
"Holiday Inn Express Birmingham Star City, an IHG Hotel",Good,"1,702 reviews",7.6,Show on map
Staycity Aparthotels Birmingham Jewellery Quarter,8.7,"1,342 reviews",9.0,"Birmingham Shopping District, Birmingham"
One Bedroom Apartment/Studio,Fabulous,5 reviews,7.8,Show on map
Hampton by Hilton Birmingham Jewellery Quarter,7.6,"2,801 reviews",7.7,Birmingham
Clayton Hotel Birmingham,Good,"4,960 reviews",8.4,Show on map
The Rollason Hotel,9.0,"1,589 reviews",5.9,"Jewellery Quarter, Birmingham"
"Crowne Plaza Birmingham City, an IHG Hotel",Superb,"3,209 reviews",8.0,Show on map
Staying Cool At Rotunda,7.8,"1,231 reviews",8.6,"Jewellery Quarter, Birmingham"
The Station Inn,Good,"1,820 reviews",6.5,Show on map
Hilton Garden Inn Birmingham Brindley Place,7.7,"4,277 reviews",8.0,"Jewellery Quarter, Birmingham"
Peter Scott House Birmingham,Good,356 reviews,7.4,Show on map
Edgbaston House,8.4,593 reviews,8.6,"Eastside, Birmingham"
Best Western Plough and Harrow Hotel,Very good,"2,057 reviews",7.5,Show on map
Edgbaston Park Hotel Birmingham,5.9,"4,212 reviews",8.3,Birmingham
The Bournbrook Inn,Review score,"3,276 reviews",7.6,Show on map
Delta Hotels by Marriott Birmingham,8.0,157 reviews,8.2,"The Westside, Birmingham"
The Saltley Inn,Very good,"1,069 reviews",6.2,Show on map
Selina Birmingham,8.6,"1,306 reviews",6.9,"Birmingham Shopping District, Birmingham"
Novotel Birmingham Centre,Fabulous,"2,033 reviews",7.8,Show on map
The Wellington Hotel Birmingham - Breakfast Included City Centre Near O2 Academy,6.5,"1,005 reviews",7.5,Birmingham
The High Field Town House,Review score,741 reviews,9.0,Show on map
AC Hotel by Marriott Birmingham,8.0,"2,317 reviews",8.5,"The Westside, Birmingham"
